Year	Day	DepDelay	ArrDelay	TotalDelay
1987	Friday	7.31612266711	8.79137274247	16.1074954096
1987	Monday	7.755080381	9.42321243858	17.1782928196
1987	Saturday	5.94741843707	5.92826659826	11.8756850353
1987	Sunday	8.29798789925	9.15488954552	17.4528774448
1987	Thursday	8.06770772931	9.76420284082	17.8319105701
1987	Tuesday	8.97790096919	11.5043449216	20.4822458908
1987	Wednesday	9.24751501678	11.23351895	20.4810339668
1988	Friday	7.22075011404	7.71063686309	14.9313869771
1988	Monday	6.76711380994	6.78293421822	13.5500480282
1988	Saturday	5.52148721405	4.06562610958	9.58711332362
1988	Sunday	5.88021193273	4.70349768154	10.5837096143
1988	Thursday	7.47678863641	8.17835547085	15.6551441073
1988	Tuesday	6.29464110345	6.71362298392	13.0082640874
1988	Wednesday	6.73004771938	7.38520512389	14.1152528433
1989	Friday	9.33286096875	10.2208074508	19.5536684196
1989	Monday	6.51981834857	6.6750989634	13.194917312
1989	Saturday	7.06911395158	5.86345044508	12.9325643967
1989	Sunday	7.0433537679	6.10915720391	13.1525109718
1989	Thursday	9.28600743057	10.4347381808	19.7207456114
1989	Tuesday	8.17304134275	9.16294142212	17.3359827649
1989	Wednesday	8.8441943881	10.0527324428	18.8969268309
1990	Friday	10.0767798123	11.1707852004	21.2475650127
1990	Monday	5.18962350068	4.82836189678	10.0179853975
1990	Saturday	6.5468824891	5.24165604798	11.7885385371
1990	Sunday	6.07236350613	4.96854758154	11.0409110877
1990	Thursday	8.78516001696	9.96881921263	18.7539792296
1990	Tuesday	5.35274097756	5.38339112991	10.7361321075
1990	Wednesday	5.63744843707	5.94243719592	11.579885633
1991	Friday	7.1305940803	6.78977959372	13.920373674
1991	Monday	4.58065837336	3.39123511577	7.97189348912
1991	Saturday	5.28517838169	3.18690349701	8.4720818787
1991	Sunday	5.77585873633	4.02839661374	9.80425535007
1991	Thursday	6.29106539215	6.01825386736	12.3093192595
1991	Tuesday	4.95863891113	4.16854149987	9.127180411
1991	Wednesday	5.78086118036	5.377384851	11.1582460314
1992	Friday	6.87080376853	6.57109160438	13.4418953729
1992	Monday	4.53513500309	3.53846258238	8.07359758547
1992	Saturday	4.83131624816	2.69824405807	7.52956030623
1992	Sunday	5.44423377526	3.79990302785	9.2441368031
1992	Thursday	6.95751394625	7.09547368592	14.0529876322
1992	Tuesday	5.10131762868	4.70777116461	9.80908879328
1992	Wednesday	5.55160311136	5.42294537477	10.9745484861
1993	Friday	7.01928555062	6.70188882878	13.7211743794
1993	Monday	5.7593457912	5.08721325375	10.8465590449
1993	Saturday	5.07143985655	3.10662445374	8.17806431029
1993	Sunday	6.41665720086	4.90290847874	11.3195656796
1993	Thursday	6.5531999989	6.39468302377	12.9478830227
1993	Tuesday	5.30478680507	4.75153344514	10.0563202502
1993	Wednesday	6.25365234308	6.18743847913	12.4410908222
